"metabolome","transition","term","estimate","sig","p"
"metabolome PC1","Dementia","PM2.5_10_main",-0.195,"*","<.05"
"metabolome PC1","Mortality","PM2.5_10_main",0.0183,NA,">.05"
"metabolome PC2","PD","PM2.5_10_main",0.00256,NA,">.05"
"metabolome PC2","Dementia","PM2.5_10_main",-0.2,"*","<.05"
"metabolome PC2","Mortality","PM2.5_10_main",0.0248,NA,">.05"
"metabolome PC3","PD","PM2.5_10_main",0.0149,NA,">.05"
"metabolome PC3","Dementia","PM2.5_10_main",-0.199,"*","<.05"
"metabolome PC3","Mortality","PM2.5_10_main",0.0372,NA,">.05"
"metabolome PC4","PD","PM2.5_10_main",-0.0234,NA,">.05"
"metabolome PC4","Dementia","PM2.5_10_main",-0.204,"*","<.05"
"metabolome PC4","Mortality","PM2.5_10_main",0.037,NA,">.05"
"metabolome PC5","PD","PM2.5_10_main",0.000708,NA,">.05"
"metabolome PC5","Dementia","PM2.5_10_main",-0.198,"*","<.05"
"metabolome PC5","Mortality","PM2.5_10_main",0.0296,NA,">.05"
"metabolome PC6","PD","PM2.5_10_main",0.0155,NA,">.05"
"metabolome PC6","Dementia","PM2.5_10_main",-0.203,"*","<.05"
"metabolome PC6","Mortality","PM2.5_10_main",0.0188,NA,">.05"
"metabolome PC7","PD","PM2.5_10_main",0.0194,NA,">.05"
"metabolome PC7","Dementia","PM2.5_10_main",-0.201,"*","<.05"
"metabolome PC7","Mortality","PM2.5_10_main",0.0271,NA,">.05"
"metabolome PC8","PD","PM2.5_10_main",0.0138,NA,">.05"
"metabolome PC8","Dementia","PM2.5_10_main",-0.193,"*","<.05"
"metabolome PC8","Mortality","PM2.5_10_main",0.02,NA,">.05"
"metabolome PC9","PD","PM2.5_10_main",0.0223,NA,">.05"
"metabolome PC9","Dementia","PM2.5_10_main",-0.198,"*","<.05"
"metabolome PC9","Mortality","PM2.5_10_main",0.0232,NA,">.05"
"metabolome PC10","PD","PM2.5_10_main",0.0182,NA,">.05"
"metabolome PC10","Dementia","PM2.5_10_main",-0.199,"*","<.05"
"metabolome PC10","Mortality","PM2.5_10_main",0.0249,NA,">.05"
"metabolome PC11","PD","PM2.5_10_main",0.0116,NA,">.05"
"metabolome PC11","Dementia","PM2.5_10_main",-0.194,"*","<.05"
"metabolome PC11","Mortality","PM2.5_10_main",0.0391,NA,">.05"
"metabolome PC12","PD","PM2.5_10_main",0.00502,NA,">.05"
"metabolome PC12","Dementia","PM2.5_10_main",-0.194,"*","<.05"
"metabolome PC12","Mortality","PM2.5_10_main",0.0268,NA,">.05"
"metabolome PC13","PD","PM2.5_10_main",0.00381,NA,">.05"
"metabolome PC13","Dementia","PM2.5_10_main",-0.196,"*","<.05"
"metabolome PC13","Mortality","PM2.5_10_main",0.0215,NA,">.05"
"metabolome PC14","PD","PM2.5_10_main",0.0192,NA,">.05"
"metabolome PC14","Dementia","PM2.5_10_main",-0.196,"*","<.05"
"metabolome PC14","Mortality","PM2.5_10_main",0.0291,NA,">.05"
"metabolome PC15","PD","PM2.5_10_main",0.0167,NA,">.05"
"metabolome PC15","Dementia","PM2.5_10_main",-0.198,"*","<.05"
"metabolome PC15","Mortality","PM2.5_10_main",0.0173,NA,">.05"
"metabolome PC1","PD","PM2.5_10_int",-0.0977,NA,">.05"
"metabolome PC1","Dementia","PM2.5_10_int",0.00545,NA,">.05"
"metabolome PC1","Mortality","PM2.5_10_int",-0.0519,NA,">.05"
"metabolome PC2","PD","PM2.5_10_int",-0.144,NA,">.05"
"metabolome PC2","Dementia","PM2.5_10_int",-0.0525,NA,">.05"
"metabolome PC2","Mortality","PM2.5_10_int",-0.00156,NA,">.05"
"metabolome PC3","PD","PM2.5_10_int",0.11,NA,">.05"
"metabolome PC3","Dementia","PM2.5_10_int",0.0164,NA,">.05"
"metabolome PC3","Mortality","PM2.5_10_int",-0.0406,NA,">.05"
"metabolome PC4","PD","PM2.5_10_int",-0.196,NA,">.05"
"metabolome PC4","Dementia","PM2.5_10_int",-0.0559,NA,">.05"
"metabolome PC4","Mortality","PM2.5_10_int",0.0414,NA,">.05"
"metabolome PC5","PD","PM2.5_10_int",-0.209,"*","<.05"
"metabolome PC5","Dementia","PM2.5_10_int",-0.00853,NA,">.05"
"metabolome PC5","Mortality","PM2.5_10_int",0.0166,NA,">.05"
"metabolome PC6","PD","PM2.5_10_int",-0.0235,NA,">.05"
"metabolome PC6","Dementia","PM2.5_10_int",-0.08,NA,">.05"
"metabolome PC6","Mortality","PM2.5_10_int",-0.0388,NA,">.05"
"metabolome PC7","PD","PM2.5_10_int",-0.104,NA,">.05"
"metabolome PC7","Dementia","PM2.5_10_int",-0.0995,NA,">.05"
"metabolome PC7","Mortality","PM2.5_10_int",0.0136,NA,">.05"
"metabolome PC8","PD","PM2.5_10_int",-0.0178,NA,">.05"
"metabolome PC8","Dementia","PM2.5_10_int",0.102,NA,">.05"
"metabolome PC8","Mortality","PM2.5_10_int",0.0511,NA,">.05"
"metabolome PC9","PD","PM2.5_10_int",0.0903,NA,">.05"
"metabolome PC9","Dementia","PM2.5_10_int",-0.011,NA,">.05"
"metabolome PC9","Mortality","PM2.5_10_int",-0.0207,NA,">.05"
"metabolome PC10","PD","PM2.5_10_int",-0.0852,NA,">.05"
"metabolome PC10","Dementia","PM2.5_10_int",-0.0519,NA,">.05"
"metabolome PC10","Mortality","PM2.5_10_int",0.0101,NA,">.05"
"metabolome PC11","PD","PM2.5_10_int",-0.14,NA,">.05"
"metabolome PC11","Dementia","PM2.5_10_int",0.0163,NA,">.05"
"metabolome PC11","Mortality","PM2.5_10_int",0.0634,NA,">.05"
"metabolome PC12","PD","PM2.5_10_int",-0.206,"*","<.05"
"metabolome PC12","Dementia","PM2.5_10_int",0.0871,NA,">.05"
"metabolome PC12","Mortality","PM2.5_10_int",0.0479,NA,">.05"
"metabolome PC13","PD","PM2.5_10_int",0.0934,NA,">.05"
"metabolome PC13","Dementia","PM2.5_10_int",-0.00984,NA,">.05"
"metabolome PC13","Mortality","PM2.5_10_int",0.000914,NA,">.05"
"metabolome PC14","PD","PM2.5_10_int",0.0288,NA,">.05"
"metabolome PC14","Dementia","PM2.5_10_int",0.0806,NA,">.05"
"metabolome PC14","Mortality","PM2.5_10_int",0.054,NA,">.05"
"metabolome PC15","PD","PM2.5_10_int",-0.0328,NA,">.05"
"metabolome PC15","Dementia","PM2.5_10_int",-0.0792,NA,">.05"
"metabolome PC15","Mortality","PM2.5_10_int",0.0584,NA,">.05"
"metabolome PC1","PD","PM2.5(abs)_main",-0.163,NA,">.05"
"metabolome PC1","Dementia","PM2.5(abs)_main",0.0463,NA,">.05"
"metabolome PC1","Mortality","PM2.5(abs)_main",-0.00943,NA,">.05"
"metabolome PC2","PD","PM2.5(abs)_main",-0.166,NA,">.05"
"metabolome PC2","Dementia","PM2.5(abs)_main",0.0488,NA,">.05"
"metabolome PC2","Mortality","PM2.5(abs)_main",0.00164,NA,">.05"
"metabolome PC3","PD","PM2.5(abs)_main",-0.164,NA,">.05"
"metabolome PC3","Dementia","PM2.5(abs)_main",0.0482,NA,">.05"
"metabolome PC3","Mortality","PM2.5(abs)_main",0.003,NA,">.05"
"metabolome PC4","PD","PM2.5(abs)_main",-0.16,NA,">.05"
"metabolome PC4","Dementia","PM2.5(abs)_main",0.0451,NA,">.05"
"metabolome PC4","Mortality","PM2.5(abs)_main",-0.0079,NA,">.05"
"metabolome PC5","PD","PM2.5(abs)_main",-0.156,NA,">.05"
"metabolome PC5","Dementia","PM2.5(abs)_main",0.0478,NA,">.05"
"metabolome PC5","Mortality","PM2.5(abs)_main",-0.0108,NA,">.05"
"metabolome PC6","PD","PM2.5(abs)_main",-0.16,NA,">.05"
"metabolome PC6","Dementia","PM2.5(abs)_main",0.0499,NA,">.05"
"metabolome PC6","Mortality","PM2.5(abs)_main",0.00466,NA,">.05"
"metabolome PC7","PD","PM2.5(abs)_main",-0.165,NA,">.05"
"metabolome PC7","Dementia","PM2.5(abs)_main",0.0465,NA,">.05"
"metabolome PC7","Mortality","PM2.5(abs)_main",-0.0114,NA,">.05"
"metabolome PC8","PD","PM2.5(abs)_main",-0.166,NA,">.05"
"metabolome PC8","Dementia","PM2.5(abs)_main",0.0549,NA,">.05"
"metabolome PC8","Mortality","PM2.5(abs)_main",0.00147,NA,">.05"
"metabolome PC9","PD","PM2.5(abs)_main",-0.162,NA,">.05"
"metabolome PC9","Dementia","PM2.5(abs)_main",0.053,NA,">.05"
"metabolome PC9","Mortality","PM2.5(abs)_main",0.00312,NA,">.05"
"metabolome PC10","PD","PM2.5(abs)_main",-0.163,NA,">.05"
"metabolome PC10","Dementia","PM2.5(abs)_main",0.0507,NA,">.05"
"metabolome PC10","Mortality","PM2.5(abs)_main",0.00744,NA,">.05"
"metabolome PC11","PD","PM2.5(abs)_main",-0.173,NA,">.05"
"metabolome PC11","Dementia","PM2.5(abs)_main",0.0507,NA,">.05"
"metabolome PC11","Mortality","PM2.5(abs)_main",-0.000874,NA,">.05"
"metabolome PC12","PD","PM2.5(abs)_main",-0.167,NA,">.05"
"metabolome PC12","Dementia","PM2.5(abs)_main",0.0571,NA,">.05"
"metabolome PC12","Mortality","PM2.5(abs)_main",0.00582,NA,">.05"
