"metabolome","transition","term","estimate","sig","p"
"metabolome PC1","Dementia","metabolome(NOX)_main",-0.19,"**","<.01"
"metabolome PC1","Mortality","metabolome(NOX)_main",-0.186,"***","<.001"
"metabolome PC2","PD","metabolome(NOX)_main",0.108,NA,">.05"
"metabolome PC2","Dementia","metabolome(NOX)_main",0.104,NA,">.05"
"metabolome PC2","Mortality","metabolome(NOX)_main",0.0867,"*","<.05"
"metabolome PC3","PD","metabolome(NOX)_main",-0.086,NA,">.05"
"metabolome PC3","Dementia","metabolome(NOX)_main",-0.142,"*","<.05"
"metabolome PC3","Mortality","metabolome(NOX)_main",0.0805,"*","<.05"
"metabolome PC4","PD","metabolome(NOX)_main",-0.0797,NA,">.05"
"metabolome PC4","Dementia","metabolome(NOX)_main",-0.0362,NA,">.05"
"metabolome PC4","Mortality","metabolome(NOX)_main",-0.107,"**","<.01"
"metabolome PC5","PD","metabolome(NOX)_main",-0.0786,NA,">.05"
"metabolome PC5","Dementia","metabolome(NOX)_main",0.078,NA,">.05"
"metabolome PC5","Mortality","metabolome(NOX)_main",-0.156,"***","<.001"
"metabolome PC6","PD","metabolome(NOX)_main",0.13,NA,">.05"
"metabolome PC6","Dementia","metabolome(NOX)_main",0.0764,NA,">.05"
"metabolome PC6","Mortality","metabolome(NOX)_main",0.0284,NA,">.05"
"metabolome PC7","PD","metabolome(NOX)_main",-0.014,NA,">.05"
"metabolome PC7","Dementia","metabolome(NOX)_main",-0.0629,NA,">.05"
"metabolome PC7","Mortality","metabolome(NOX)_main",-0.162,"***","<.001"
"metabolome PC8","PD","metabolome(NOX)_main",-0.105,NA,">.05"
"metabolome PC8","Dementia","metabolome(NOX)_main",-0.206,"**","<.01"
"metabolome PC8","Mortality","metabolome(NOX)_main",-0.032,NA,">.05"
"metabolome PC9","PD","metabolome(NOX)_main",-0.0979,NA,">.05"
"metabolome PC9","Dementia","metabolome(NOX)_main",-0.168,"**","<.01"
"metabolome PC9","Mortality","metabolome(NOX)_main",-0.105,"**","<.01"
"metabolome PC10","PD","metabolome(NOX)_main",-0.0169,NA,">.05"
"metabolome PC10","Dementia","metabolome(NOX)_main",-0.0207,NA,">.05"
"metabolome PC10","Mortality","metabolome(NOX)_main",0.0566,NA,">.05"
"metabolome PC11","PD","metabolome(NOX)_main",0.00877,NA,">.05"
"metabolome PC11","Dementia","metabolome(NOX)_main",-0.00633,NA,">.05"
"metabolome PC11","Mortality","metabolome(NOX)_main",-0.0768,"*","<.05"
"metabolome PC12","PD","metabolome(NOX)_main",-0.0705,NA,">.05"
"metabolome PC12","Dementia","metabolome(NOX)_main",-0.131,"*","<.05"
"metabolome PC12","Mortality","metabolome(NOX)_main",-0.0535,NA,">.05"
"metabolome PC13","PD","metabolome(NOX)_main",-0.0231,NA,">.05"
"metabolome PC13","Dementia","metabolome(NOX)_main",0.0814,NA,">.05"
"metabolome PC13","Mortality","metabolome(NOX)_main",0.115,"***","<.001"
"metabolome PC14","PD","metabolome(NOX)_main",0.0628,NA,">.05"
"metabolome PC14","Dementia","metabolome(NOX)_main",-0.00636,NA,">.05"
"metabolome PC14","Mortality","metabolome(NOX)_main",-0.00545,NA,">.05"
"metabolome PC15","PD","metabolome(NOX)_main",-0.129,NA,">.05"
"metabolome PC15","Dementia","metabolome(NOX)_main",-0.0434,NA,">.05"
"metabolome PC15","Mortality","metabolome(NOX)_main",0.102,"**","<.01"
